Region,Country Code,Country,Population,Public Flows (2021 USD M),Public Flows per Capita (USD),Renewable Energy Share of Electricity Production (%),SDG 7b1 RE capacity per capita (W/inhabitant),Total Non-Renewable,Total Renewable,EPI.old,EPI.new,CDA.old,CDA.new
Africa,AGO,Angola,24921557.56521739,224.48493572591306,7.693272948831489,0.7114798312490255,49.300409342826086,2569.1611304347825,5551.932130434782,31.9,40.1,26.4,54.7
Africa,BDI,Burundi,9400892.043478262,24.543784970130435,2.2371833355121207,0.8728904348204088,6.1317525388695655,40.24191304347826,179.77591304347825,34.8,33.5,12.9,4.9
Africa,BEN,Benin,9895556.56521739,25.395604541130435,2.144194236652267,0.008591097025467277,0.2118857045217391,364.759,2.5434782608695654,38.1,37.8,23.2,22.0
Africa,BFA,Burkina Faso,16876050.217391305,30.280669718043477,1.6140218654745648,0.18562624783063847,2.7249369344347825,557.8789565217392,123.45908695652174,42.1,42.2,6.8,15.1
Africa,BWA,Botswana,2150836.3913043477,3.0315963567391306,1.265249315105123,0.0010099918750349568,0.750409228652174,1616.396956521739,2.2249565217391303,51.0,49.2,38.6,45.1
Africa,CAF,Central African Republic (the),4641622.956521739,6.777589393956521,1.2610607804349498,0.987403693231669,4.1469494984782616,1.7925652173913043,129.42104347826086,44.1,39.0,71.5,19.4
Africa,CIV,Côte d'Ivoire,21930589.652173914,113.70780778147828,4.5562594382481265,0.2724963208760376,30.95066198843478,5979.914263596522,2027.0552173913043,35.1,42.9,43.8,42.7
Africa,CMR,Cameroon,20865659.217391305,132.70539646608697,5.9630397669403985,0.8429230739031345,36.707342453608696,900.2551304347826,4244.666130434783,36.4,38.6,31.6,43.6
Africa,COD,Democratic Republic of the Congo (the),70643888.86956522,55.515652726521736,0.8250824135470328,0.9967779606077379,37.83615496495652,29.727304347826085,8631.346,33.5,39.5,29.3,51.8
Africa,COG,Congo (the),4524709.130434782,7.576600263304348,1.6232272166934554,0.6435953555783314,31.655293299739128,728.7539130434783,730.2661304347826,40.7,41.6,34.0,35.0
Africa,COM,Comoros (the),677202.695652174,3.4388937966086957,4.277304282616339,0.06300436712096011,2.0244131453913043,45.37273913043477,3.056826086956522,44.1,38.2,42.3,3.4
Africa,CPV,Cabo Verde,527939.2608695652,12.342314861086958,23.186567392609685,0.11081179698708196,32.988384816478266,287.89939130434783,45.22469565217392,39.8,38.0,41.4,43.2
Africa,DJI,Djibouti,936394.9130434783,15.119449752043478,14.472170652168403,0.03321759312674243,1.7183604443043479,223.30434782608697,6.282608695652174,32.1,32.3,51.4,51.4
Africa,DZA,Algeria,37083178.39130435,0.7922866145652173,0.020155387812567295,0.0075141139646675995,9.880452310826088,53207.10434782608,426.41626086956524,38.5,41.7,34.8,40.7
Africa,EGY,Egypt,90278775.86956522,665.8292760529131,7.19815078294734,0.11514782276112215,41.770876001217395,135052.06891304348,16355.62447826087,40.2,43.7,36.2,43.8
Africa,ERI,Eritrea,3116553.7391304346,10.268041254043478,3.131019490621709,0.041961337357931755,1.3309275123043478,298.7480869565217,15.786565217391304,29.3,29.0,55.6,44.4
Africa,ETH,Ethiopia,93055167.0,141.08431649765217,1.5183028608788414,0.9849366501535741,21.525033339786955,55.83039130434782,7355.307173913044,32.5,36.3,23.2,22.6
Africa,GAB,Gabon,1799251.3043478262,27.444393891913045,16.331705344999328,0.5364334278383823,131.09260372130436,836.1984782608695,959.414304347826,46.0,53.3,51.4,57.5
